variant,budget,spec,score,passed,total
base,500000,cold_start,619.88,12,12
base,500000,mini_burst,676.79,12,12
base,500000,tiny_dance,569,12,12
base,500000,solo_run,730.63,12,12
base,500000,verse_chorus,751.46,12,12
base,500000,drums_swell,715.55,12,12
base,500000,drums_crosscut,748.96,12,12
base,500000,drums_tide,740.96,12,12
base,500000,drums_dropout,721.45,12,12
base,500000,drums_breath,732.7,12,12
base,500000,drums_pulse,746.85,12,12
base,500000,drums_zigzag,734.45,12,12
backjump,25000,drums_signature,3.94,3,12
backjump,25000,drums_pendulum,0,0,12
backjump,25000,drums_crescendo,0,0,12
backjump,25000,dense_sprint,197.74,10,12
backjump,25000,syncopated_switchback,468.73,12,12
backjump,25000,opening_burst,585.97,12,12
backjump,25000,grain_staircase,646.44,12,12
backjump,25000,rhythm_ladder,7.12,4,12
backjump,25000,cold_start,561.16,12,12
backjump,25000,mini_burst,611.41,12,12
backjump,25000,tiny_dance,532.16,12,12
backjump,25000,solo_run,0,0,12
backjump,25000,verse_chorus,326.68,11,12
backjump,25000,drums_swell,343.87,11,12
backjump,25000,drums_crosscut,625.3,12,12
backjump,25000,drums_tide,616.31,12,12
backjump,25000,drums_dropout,207.87,10,12
backjump,25000,drums_breath,590.59,12,12
backjump,25000,drums_pulse,628.15,12,12
backjump,25000,drums_zigzag,597.97,12,12
backjump,50000,drums_signature,216.87,10,12
backjump,50000,drums_pendulum,1.84,2,12
backjump,50000,drums_crescendo,12.51,5,12
backjump,50000,dense_sprint,607.14,12,12
backjump,50000,syncopated_switchback,586.44,12,12
backjump,50000,opening_burst,601.55,12,12
backjump,50000,grain_staircase,666.01,12,12
backjump,50000,rhythm_ladder,325.82,11,12
backjump,50000,cold_start,571.16,12,12
backjump,50000,mini_burst,623.42,12,12
backjump,50000,tiny_dance,542.92,12,12
backjump,50000,solo_run,70.56,7,12
backjump,50000,verse_chorus,673.03,12,12
backjump,50000,drums_swell,638.35,12,12
backjump,50000,drums_crosscut,666.83,12,12
backjump,50000,drums_tide,650.86,12,12
backjump,50000,drums_dropout,639.08,12,12
backjump,50000,drums_breath,642.41,12,12
backjump,50000,drums_pulse,674.67,12,12
backjump,50000,drums_zigzag,646.57,12,12
backjump,75000,drums_signature,671.9,12,12
backjump,75000,drums_pendulum,109.17,9,12
backjump,75000,drums_crescendo,13.62,5,12
backjump,75000,dense_sprint,650.5,12,12
backjump,75000,syncopated_switchback,639.14,12,12
backjump,75000,opening_burst,638.38,12,12
backjump,75000,grain_staircase,743.42,12,12
backjump,75000,rhythm_ladder,601.89,12,12
backjump,75000,cold_start,601.5,12,12
backjump,75000,mini_burst,657.79,12,12
backjump,75000,tiny_dance,551.67,12,12
backjump,75000,solo_run,231.23,10,12
backjump,75000,verse_chorus,731.67,12,12
backjump,75000,drums_swell,687.65,12,12
backjump,75000,drums_crosscut,740.65,12,12
backjump,75000,drums_tide,716.49,12,12
backjump,75000,drums_dropout,699.03,12,12
backjump,75000,drums_breath,711.41,12,12
backjump,75000,drums_pulse,726.57,12,12
backjump,75000,drums_zigzag,702.85,12,12
backjump,100000,drums_signature,685.63,12,12
backjump,100000,drums_pendulum,322.16,11,12
backjump,100000,drums_crescendo,207.34,10,12
backjump,100000,dense_sprint,658.05,12,12
backjump,100000,syncopated_switchback,616.77,12,12
backjump,100000,opening_burst,631.4,12,12
backjump,100000,grain_staircase,738.11,12,12
backjump,100000,rhythm_ladder,606.65,12,12
backjump,100000,cold_start,604.05,12,12
backjump,100000,mini_burst,654.82,12,12
backjump,100000,tiny_dance,552.6,12,12
backjump,100000,solo_run,704.71,12,12
backjump,100000,verse_chorus,736.45,12,12
backjump,100000,drums_swell,691.02,12,12
backjump,100000,drums_crosscut,739.45,12,12
backjump,100000,drums_tide,726.52,12,12
backjump,100000,drums_dropout,697.74,12,12
backjump,100000,drums_breath,717.33,12,12
backjump,100000,drums_pulse,726.7,12,12
backjump,100000,drums_zigzag,718.86,12,12
backjump,125000,drums_signature,684.43,12,12
backjump,125000,drums_pendulum,543.34,12,12
backjump,125000,drums_crescendo,362.45,11,12
backjump,125000,dense_sprint,657.46,12,12
backjump,125000,syncopated_switchback,617.79,12,12
backjump,125000,opening_burst,633.27,12,12
backjump,125000,grain_staircase,738.68,12,12
backjump,125000,rhythm_ladder,617.17,12,12
backjump,125000,cold_start,603.59,12,12
backjump,125000,mini_burst,655.04,12,12
backjump,125000,tiny_dance,557.39,12,12
backjump,125000,solo_run,708.75,12,12
backjump,125000,verse_chorus,740.95,12,12
backjump,125000,drums_swell,698.06,12,12
backjump,125000,drums_crosscut,739.63,12,12
backjump,125000,drums_tide,725.02,12,12
backjump,125000,drums_dropout,707.24,12,12
backjump,125000,drums_breath,719.67,12,12
backjump,125000,drums_pulse,727.25,12,12
backjump,125000,drums_zigzag,719.86,12,12
backjump,150000,drums_signature,689.78,12,12
backjump,150000,drums_pendulum,546.86,12,12
backjump,150000,drums_crescendo,364.48,11,12
backjump,150000,dense_sprint,670.58,12,12
backjump,150000,syncopated_switchback,636.4,12,12
backjump,150000,opening_burst,647.57,12,12
backjump,150000,grain_staircase,748.07,12,12
backjump,150000,rhythm_ladder,626.08,12,12
backjump,150000,cold_start,611.83,12,12
backjump,150000,mini_burst,664.82,12,12
backjump,150000,tiny_dance,564.89,12,12
backjump,150000,solo_run,716.42,12,12
backjump,150000,verse_chorus,744.36,12,12
backjump,150000,drums_swell,702.02,12,12
backjump,150000,drums_crosscut,742.01,12,12
backjump,150000,drums_tide,728.6,12,12
backjump,150000,drums_dropout,709.62,12,12
backjump,150000,drums_breath,720.62,12,12
backjump,150000,drums_pulse,730.22,12,12
backjump,150000,drums_zigzag,719.97,12,12
backjump,175000,drums_signature,692.18,12,12
backjump,175000,drums_pendulum,546.04,12,12
backjump,175000,drums_crescendo,364.56,11,12
backjump,175000,dense_sprint,677.15,12,12
backjump,175000,syncopated_switchback,644.19,12,12
backjump,175000,opening_burst,648.73,12,12
backjump,175000,grain_staircase,754.91,12,12
backjump,175000,rhythm_ladder,621.8,12,12
backjump,175000,cold_start,612.6,12,12
backjump,175000,mini_burst,667.84,12,12
backjump,175000,tiny_dance,567.58,12,12
backjump,175000,solo_run,717.28,12,12
backjump,175000,verse_chorus,743.6,12,12
backjump,175000,drums_swell,701.5,12,12
backjump,175000,drums_crosscut,744.17,12,12
backjump,175000,drums_tide,733.48,12,12
backjump,175000,drums_dropout,712.16,12,12
backjump,175000,drums_breath,720.01,12,12
backjump,175000,drums_pulse,732.85,12,12
backjump,175000,drums_zigzag,722.76,12,12
backjump,200000,drums_signature,695.18,12,12
backjump,200000,drums_pendulum,550.96,12,12
backjump,200000,drums_crescendo,630.79,12,12
backjump,200000,dense_sprint,685.51,12,12
backjump,200000,syncopated_switchback,645.13,12,12
backjump,200000,opening_burst,655.24,12,12
backjump,200000,grain_staircase,749.58,12,12
backjump,200000,rhythm_ladder,625.13,12,12
backjump,200000,cold_start,612.46,12,12
backjump,200000,mini_burst,669.13,12,12
backjump,200000,tiny_dance,567.81,12,12
backjump,200000,solo_run,719.33,12,12
backjump,200000,verse_chorus,745.32,12,12
backjump,200000,drums_swell,707.82,12,12
backjump,200000,drums_crosscut,746.11,12,12
backjump,200000,drums_tide,734.45,12,12
backjump,200000,drums_dropout,714.06,12,12
backjump,200000,drums_breath,723.01,12,12
backjump,200000,drums_pulse,733.28,12,12
backjump,200000,drums_zigzag,726.63,12,12
backjump,225000,drums_signature,700.33,12,12
backjump,225000,drums_pendulum,555.17,12,12
backjump,225000,drums_crescendo,631.89,12,12
backjump,225000,dense_sprint,685.47,12,12
backjump,225000,syncopated_switchback,648.95,12,12
backjump,225000,opening_burst,655.82,12,12
backjump,225000,grain_staircase,756.06,12,12
backjump,225000,rhythm_ladder,629.09,12,12
backjump,225000,cold_start,615.96,12,12
backjump,225000,mini_burst,670.03,12,12
backjump,225000,tiny_dance,568.49,12,12
backjump,225000,solo_run,717.83,12,12
backjump,225000,verse_chorus,746.56,12,12
backjump,225000,drums_swell,707.99,12,12
backjump,225000,drums_crosscut,745.98,12,12
backjump,225000,drums_tide,735.33,12,12
backjump,225000,drums_dropout,712.74,12,12
backjump,225000,drums_breath,724.54,12,12
backjump,225000,drums_pulse,734.16,12,12
backjump,225000,drums_zigzag,728.32,12,12
backjump,250000,drums_signature,699.96,12,12
backjump,250000,drums_pendulum,555.96,12,12
backjump,250000,drums_crescendo,634.82,12,12
backjump,250000,dense_sprint,685.75,12,12
backjump,250000,syncopated_switchback,648.64,12,12
backjump,250000,opening_burst,659.65,12,12
backjump,250000,grain_staircase,756.84,12,12
backjump,250000,rhythm_ladder,631.4,12,12
backjump,250000,cold_start,614.84,12,12
backjump,250000,mini_burst,670.97,12,12
backjump,250000,tiny_dance,568.49,12,12
backjump,250000,solo_run,719.43,12,12
backjump,250000,verse_chorus,747.84,12,12
backjump,250000,drums_swell,709.59,12,12
backjump,250000,drums_crosscut,746.24,12,12
backjump,250000,drums_tide,736.88,12,12
backjump,250000,drums_dropout,714.46,12,12
backjump,250000,drums_breath,725.72,12,12
backjump,250000,drums_pulse,735.57,12,12
backjump,250000,drums_zigzag,727.76,12,12
backjump,275000,drums_signature,699.93,12,12
backjump,275000,drums_pendulum,559.8,12,12
backjump,275000,drums_crescendo,634.31,12,12
backjump,275000,dense_sprint,690.09,12,12
backjump,275000,syncopated_switchback,652.03,12,12
backjump,275000,opening_burst,661.86,12,12
backjump,275000,grain_staircase,759.47,12,12
backjump,275000,rhythm_ladder,630.87,12,12
backjump,275000,cold_start,617.48,12,12
backjump,275000,mini_burst,671.11,12,12
backjump,275000,tiny_dance,568.95,12,12
backjump,275000,solo_run,722.18,12,12
backjump,275000,verse_chorus,747.2,12,12
backjump,275000,drums_swell,712.04,12,12
backjump,275000,drums_crosscut,747.25,12,12
backjump,275000,drums_tide,736.32,12,12
backjump,275000,drums_dropout,714.79,12,12
backjump,275000,drums_breath,727.8,12,12
backjump,275000,drums_pulse,734.62,12,12
backjump,275000,drums_zigzag,727.57,12,12
backjump,300000,drums_signature,701.48,12,12
backjump,300000,drums_pendulum,560.33,12,12
backjump,300000,drums_crescendo,634.26,12,12
backjump,300000,dense_sprint,691.2,12,12
backjump,300000,syncopated_switchback,652.18,12,12
backjump,300000,opening_burst,664.33,12,12
backjump,300000,grain_staircase,761.09,12,12
backjump,300000,rhythm_ladder,635.59,12,12
backjump,300000,cold_start,617.25,12,12
backjump,300000,mini_burst,671.99,12,12
backjump,300000,tiny_dance,568.98,12,12
backjump,300000,solo_run,722.66,12,12
backjump,300000,verse_chorus,747.87,12,12
backjump,300000,drums_swell,712.29,12,12
backjump,300000,drums_crosscut,746.42,12,12
backjump,300000,drums_tide,736.34,12,12
backjump,300000,drums_dropout,716.39,12,12
backjump,300000,drums_breath,730.41,12,12
backjump,300000,drums_pulse,734.14,12,12
backjump,300000,drums_zigzag,729.11,12,12
backjump,325000,drums_signature,700.87,12,12
backjump,325000,drums_pendulum,562.49,12,12
backjump,325000,drums_crescendo,637.89,12,12
backjump,325000,dense_sprint,691.47,12,12
backjump,325000,syncopated_switchback,651.98,12,12
backjump,325000,opening_burst,663.4,12,12
backjump,325000,grain_staircase,760.89,12,12
backjump,325000,rhythm_ladder,635.95,12,12
backjump,325000,cold_start,617.21,12,12
backjump,325000,mini_burst,673.2,12,12
backjump,325000,tiny_dance,569,12,12
backjump,325000,solo_run,728.18,12,12
backjump,325000,verse_chorus,749.31,12,12
backjump,325000,drums_swell,714.57,12,12
backjump,325000,drums_crosscut,747.2,12,12
backjump,325000,drums_tide,736.96,12,12
backjump,325000,drums_dropout,715.46,12,12
backjump,325000,drums_breath,731.99,12,12
backjump,325000,drums_pulse,734.76,12,12
backjump,325000,drums_zigzag,729.82,12,12
backjump,350000,drums_signature,702.38,12,12
backjump,350000,drums_pendulum,563.32,12,12
backjump,350000,drums_crescendo,638.16,12,12
backjump,350000,dense_sprint,690.67,12,12
backjump,350000,syncopated_switchback,650.69,12,12
backjump,350000,opening_burst,664.84,12,12
backjump,350000,grain_staircase,762.29,12,12
backjump,350000,rhythm_ladder,636.84,12,12
backjump,350000,cold_start,619.48,12,12
backjump,350000,mini_burst,673.7,12,12
backjump,350000,tiny_dance,569,12,12
backjump,350000,solo_run,729.79,12,12
backjump,350000,verse_chorus,748.74,12,12
backjump,350000,drums_swell,714.99,12,12
